stamp_sec,p_lidar_x,p_lidar_y,p_lidar_z,v_lidar_x,v_lidar_y,v_lidar_z,speed_2d,fix_type,flags,h_acc_mm,v_acc_mm,s_acc_mm_s,quality
1783929956.776563883,13.816420,-0.512927,-0.087066,0.013827,0.718745,0.000000,0.718878,3,131,20,50,50,high
1783929956.776888609,13.822275,-0.430032,0.012934,-0.013785,0.765676,0.000000,0.765800,3,131,20,50,50,high
1783929957.177281380,13.813944,-0.346971,0.012934,-0.077612,0.836388,0.000000,0.839981,3,131,20,50,50,high
1783929957.177320480,13.796850,-0.270721,-0.087066,-0.122070,0.862626,0.000000,0.871220,3,131,20,50,50,high
1783929957.192086697,13.786436,-0.166895,-0.087066,-0.139429,0.883330,0.000000,0.894267,3,131,20,50,50,high
1783929957.337285995,13.766433,-0.014562,-0.087066,-0.090278,0.723953,0.000000,0.729560,3,131,20,50,50,high
1783929957.337539196,13.772288,0.068333,-0.087066,0.059374,0.803541,0.000000,0.805732,3,131,20,50,50,high
1783929957.917176247,13.788989,0.137275,-0.087066,0.183472,0.787276,0.000000,0.808372,3,131,20,50,50,high
1783929957.917227030,13.798184,0.233958,-0.087066,0.174921,0.923749,0.000000,0.940164,3,131,20,50,50,high
1783929957.917774200,13.821566,0.330475,-0.087066,0.204303,0.925055,0.000000,0.947347,3,131,20,50,50,high
1783929957.918089867,13.838267,0.399416,-0.087066,0.191809,0.802621,0.000000,0.825222,3,131,20,50,50,high
1783929958.337048769,13.850409,0.655079,-0.087066,0.017385,0.872229,0.000000,0.872402,3,131,20,50,50,high
1783929958.337090254,13.833314,0.731328,-0.087066,-0.072676,0.909884,0.000000,0.912781,3,131,20,50,50,high
1783929958.337494612,13.828756,0.918050,-0.087066,-0.062431,0.860853,0.000000,0.863114,3,131,20,50,50,high
1783929958.657137632,13.831270,0.987156,-0.087066,0.018141,0.770227,0.000000,0.770440,3,131,20,50,50,high
1783929958.657202959,13.845888,1.076863,-0.087066,0.036769,0.873363,0.000000,0.874136,3,131,20,50,50,high
1783929958.756811380,13.851743,1.159758,-0.087067,0.115780,0.838518,0.000000,0.846473,3,131,20,50,50,high
1783929958.756851196,13.852176,1.249630,-0.087067,0.090638,0.927898,0.000000,0.932314,3,131,20,50,50,high
1783929959.176984072,13.875557,1.346147,-0.087067,0.165526,0.888582,0.000000,0.903867,3,131,20,50,50,high
1783929959.177067518,13.892258,1.415088,-0.087067,0.159322,0.691246,0.000000,0.709369,3,131,20,50,50,high
1783929959.216972828,13.908958,1.484030,-0.087067,0.125480,0.728268,0.000000,0.738999,3,131,20,50,50,high
1783929959.356773376,13.908997,1.719092,-0.087067,-0.015783,0.823650,0.000000,0.823802,3,131,20,50,50,high
1783929959.777042627,13.904006,1.815941,-0.087067,0.006975,0.954062,0.000000,0.954087,3,131,20,50,50,high
1783929959.916931629,13.910293,1.988709,-0.087067,-0.004041,0.792248,0.000000,0.792258,3,131,20,50,50,high
1783929959.916957378,13.926994,2.057650,-0.087067,0.085504,0.784588,0.000000,0.789234,3,131,20,50,50,high
1783929960.916966915,13.949982,2.299358,-0.087067,0.152425,0.789741,0.000000,0.804316,3,131,20,50,50,high
1783929960.917224646,13.957920,2.361488,-0.087067,0.070634,0.637511,0.000000,0.641412,3,131,20,50,50,high
1783929960.917477846,13.957959,2.596550,-0.087067,-0.072096,0.806478,0.000000,0.809694,3,131,20,50,50,high
1783929960.917539597,13.946288,2.665823,-0.087067,-0.072336,0.878485,0.000000,0.881458,3,131,20,50,50,high
1783929961.676979780,13.946404,3.371011,-0.087068,-0.027638,0.780240,0.000000,0.780729,3,131,20,50,50,high
1783929961.677304745,13.963105,3.439953,-0.087068,0.038019,0.672954,0.000000,0.674027,3,131,20,50,50,high
1783929961.737102509,13.940588,3.523179,-0.087068,-0.075007,0.754820,0.000000,0.758538,3,131,20,50,50,high
1783929961.737398386,13.941020,3.613051,-0.087068,-0.034628,0.860931,0.000000,0.861628,3,131,20,50,50,high
1783929962.116942167,13.940195,3.668370,-0.087068,-0.012010,0.558076,0.000000,0.558205,3,131,20,50,50,high
1783929962.117178917,13.948132,3.730500,-0.087068,-0.004096,0.621222,0.000000,0.621235,3,131,20,50,50,high
1783929962.497075796,13.991555,3.909747,-0.087068,0.164999,0.617132,0.000000,0.638809,3,131,20,50,50,high
1783929962.716947556,14.014936,4.006264,-0.087068,0.151682,0.391470,0.000000,0.419829,3,131,20,50,50,high
1783929962.717211723,14.024957,4.047629,-0.087068,0.119494,0.390515,0.000000,0.408388,3,131,20,50,50,high
1783929962.776924372,14.057926,4.095639,-0.087068,0.179758,0.422158,0.000000,0.458835,3,131,20,50,50,high
1783929962.777186632,14.067947,4.137003,-0.087068,0.197398,0.454866,0.000000,0.495852,3,131,20,50,50,high
1783929963.276935577,14.179785,4.246314,-0.087069,0.420730,0.286486,0.000000,0.509007,3,131,20,50,50,high
1783929963.276998520,14.234446,4.266416,-0.087069,0.528121,0.136913,0.000000,0.545580,3,131,20,50,50,high
1783929963.677154779,14.277004,4.265919,-0.087069,0.590305,0.138384,0.000000,0.606309,3,131,20,50,50,high
1783929963.677433968,14.337089,4.279044,-0.087069,0.653615,0.097668,0.000000,0.660872,3,131,20,50,50,high
1783929963.677798510,14.408019,4.278215,-0.087069,0.665598,-0.005741,0.000000,0.665622,3,131,20,50,50,high
1783929963.856928110,14.516084,4.283866,-0.087069,0.545286,0.057797,0.000000,0.548340,3,131,20,50,50,high
1783929963.856983185,14.567406,4.290180,-0.087070,0.566952,0.065771,0.000000,0.570754,3,131,20,50,50,high
1783929963.976652622,14.632913,4.296328,-0.087070,0.522228,0.084204,0.000000,0.528973,3,131,20,50,50,high
1783929963.976682901,14.692997,4.309453,-0.087070,0.601362,0.158377,0.000000,0.621868,3,131,20,50,50,high
1783929964.217007637,14.747659,4.329555,-0.087070,0.643826,0.201515,0.000000,0.674626,3,131,20,50,50,high
1783929964.217089415,14.807743,4.342680,-0.087070,0.664429,0.178266,0.000000,0.687928,3,131,20,50,50,high
1783929964.317063570,14.933335,4.361953,-0.087070,0.502822,0.014659,0.000000,0.503036,3,131,20,50,50,high
1783929964.536888838,15.004265,4.361124,-0.087071,0.663161,0.054426,0.000000,0.665391,3,131,20,50,50,high
1783929964.537132740,15.075196,4.360295,-0.087071,0.703762,0.031522,0.000000,0.704467,3,131,20,50,50,high
1783929964.737453699,15.154889,4.366278,-0.087071,0.742087,0.024580,0.000000,0.742494,3,131,20,50,50,high
1783929964.737529039,15.217056,4.358637,-0.087071,0.681707,-0.093277,0.000000,0.688059,3,131,20,50,50,high
1783929964.937103271,15.287986,4.357809,-0.087071,0.665863,0.002065,0.000000,0.665866,3,131,20,50,50,high
1783929964.937177658,15.358917,4.356980,-0.087071,0.558510,-0.001584,0.000000,0.558512,3,131,20,50,50,high
1783929965.156974077,15.419001,4.370105,-0.087072,0.653511,0.045658,0.000000,0.655104,3,131,20,50,50,high
1783929965.337007523,15.560862,4.368447,-0.087072,0.731561,0.020198,0.000000,0.731839,3,131,20,50,50,high
1783929965.337135315,15.658081,4.388052,-0.087072,0.812099,0.094196,0.000000,0.817543,3,131,20,50,50,high
1783929965.537060261,15.718166,4.401177,-0.087072,0.747445,0.050276,0.000000,0.749134,3,131,20,50,50,high
1783929965.537121534,15.771570,4.386725,-0.087073,0.543423,-0.008245,0.000000,0.543485,3,131,20,50,50,high
1783929965.737070799,15.837077,4.392873,-0.087073,0.670439,0.049951,0.000000,0.672298,3,131,20,50,50,high
1783929965.737180233,15.913430,4.385067,-0.087073,0.726539,-0.048298,0.000000,0.728143,3,131,20,50,50,high
1783929965.937073231,15.984360,4.384239,-0.087073,0.736538,-0.048126,0.000000,0.738108,3,131,20,50,50,high
1783929965.937178373,16.066137,4.369456,-0.087073,0.782033,-0.122954,0.000000,0.791639,3,131,20,50,50,high
1783929966.156936646,16.165439,4.368295,-0.087074,0.807586,-0.027100,0.000000,0.808041,3,131,20,50,50,high
1783929966.337091446,16.218843,4.353844,-0.087074,0.611990,-0.063873,0.000000,0.615315,3,131,20,50,50,high
1783929966.337122440,16.351940,4.345375,-0.087074,0.600061,-0.068079,0.000000,0.603911,3,131,20,50,50,high
1783929966.537078857,16.412025,4.358500,-0.087074,0.649911,0.033995,0.000000,0.650800,3,131,20,50,50,high
1783929966.537106991,16.482955,4.357671,-0.087074,0.678417,0.039686,0.000000,0.679577,3,131,20,50,50,high
1783929966.756951809,16.553885,4.356842,-0.087075,0.655854,-0.032313,0.000000,0.656649,3,131,20,50,50,high
1783929966.757015467,16.596443,4.356345,-0.087075,0.575600,-0.041496,0.000000,0.577094,3,131,20,50,50,high
1783929966.937179089,16.667374,4.355516,-0.087075,0.621993,-0.052299,0.000000,0.624187,3,131,20,50,50,high
1783929966.937306643,16.722860,4.320299,-0.087075,0.609484,-0.220339,0.000000,0.648089,3,131,20,50,50,high
1783929967.237027407,16.792533,4.284917,-0.087075,0.683126,-0.315085,0.000000,0.752290,3,131,20,50,50,high
1783929967.253337383,16.867629,4.242557,-0.087075,0.696871,-0.393060,0.000000,0.800078,3,131,20,50,50,high
1783929967.317032814,16.981943,4.185913,-0.087076,0.518499,-0.326521,0.000000,0.612745,3,131,20,50,50,high
1783929967.517091274,17.042853,4.143719,-0.087076,0.529950,-0.445542,0.000000,0.692354,3,131,20,50,50,high
1783929967.737094879,17.136300,4.059664,-0.087076,0.403411,-0.380511,0.000000,0.554553,3,131,20,50,50,high
1783929967.737169504,17.151311,4.004179,-0.087076,0.399445,-0.440588,0.000000,0.594705,3,131,20,50,50,high
1783929967.937315226,17.173003,3.976271,-0.087076,0.228369,-0.321516,0.000000,0.394367,3,131,20,50,50,high
